RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           11     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   52   64     0     0  con    0  1.0D+00  7.5D-03  2.532D-01  7.747D+02
   53   65     0     0  con    0  1.0D+00  1.1D-02  1.422D-01  7.747D+02
   54   66     0     0  con    0  1.0D+00  1.3D-02  3.120D-01  7.747D+02
   55   67     0     0  con    0  1.0D+00  1.4D-02  4.458D-01  7.747D+02
   56   68     0     0  con    0  1.0D+00  2.2D-02  1.290D+00  7.747D+02
   57   69     0     0  con    0  1.0D+00  1.1D-02  1.296D+00  7.747D+02
   58   70     0     0  con    0  1.0D+00  2.5D-02  3.851D-01  7.747D+02
   59   71     0     0  con    0  1.0D+00  2.3D-02  6.056D-01  7.747D+02
   60   73     0     0  con    1  4.6D-01  2.6D-02  8.431D-01  7.747D+02
   61   75     0     0  con    1  4.2D-01  1.6D-02  3.546D-01  7.747D+02
   62   76     0     0  con    0  1.0D+00  2.0D-02  6.095D-01  7.747D+02
   63   78     0     0  con    1  4.4D-01  5.1D-03  4.494D-01  7.747D+02
   64   79     0     0  con    0  1.0D+00  6.5D-03  1.269D-01  7.747D+02
   65   80     0     0  con    0  1.0D+00  9.9D-03  7.219D-01  7.747D+02
   66   81     0     0  con    0  1.0D+00  5.6D-03  2.688D-01  7.747D+02
   67   82     0     0  con    0  1.0D+00  4.4D-03  2.408D-01  7.747D+02
   68   83     0     0  con    0  1.0D+00  2.1D-02  6.362D-01  7.747D+02
   69   84     0     0  con    0  1.0D+00  1.6D-03  1.819D-01  7.747D+02
   70   85     0     0  con    0  1.0D+00  6.9D-03  1.987D-01  7.747D+02
   71   87     0     0  con    1  2.8D-01  7.6D-03  3.400D-01  7.747D+02
   72   88     0     0  con    0  1.0D+00  4.9D-03  1.106D-01  7.747D+02
   73   89     0     0  con    0  1.0D+00  4.2D-03  6.719D-02  7.747D+02
   74   90     0     0  con    0  1.0D+00  2.9D-03  6.651D-02  7.747D+02
   75   91     0     0  con    0  1.0D+00  7.2D-03  5.022D-02  7.747D+02
   76   93     0     0  con    1  4.5D-01  1.1D-03  3.322D-02  7.747D+02
   77   94     0     0  con    0  1.0D+00  1.7D-03  1.144D-01  7.747D+02
   78   95     0     0  con    0  1.0D+00  2.4D-04  2.195D-02  7.747D+02
   79   96     0     0  con    0  1.0D+00  8.0D-04  1.140D-02  7.747D+02
   80   97     0     0  con    0  1.0D+00  2.8D-04  1.194D-02  7.747D+02
   81   98     0     0  con    0  1.0D+00  5.7D-04  1.618D-02  7.747D+02
   82  100     0     0  con    1  2.9D-01  8.3D-04  1.191D-02  7.747D+02
   83  101     0     0  con    0  1.0D+00  1.5D-03  1.314D-02  7.747D+02
   84  102     0     0  con    0  1.0D+00  4.9D-04  4.661D-03  7.747D+02
   85  103     0     0  con    0  1.0D+00  6.1D-04  1.912D-02  7.747D+02
   86  104     0     0  con    0  1.0D+00  3.6D-04  2.170D-02  7.747D+02
   87  105     0     0  con    0  1.0D+00  7.4D-04  5.570D-02  7.747D+02
   88  106     0     0  con    0  1.0D+00  2.7D-04  2.465D-02  7.747D+02
   89  107     0     0  con    0  1.0D+00  5.3D-04  1.272D-02  7.747D+02
   90  108     0     0  con    0  1.0D+00  5.3D-04  2.096D-02  7.747D+02
   91  110     0     0  con    1  1.9D-01  1.5D-04  1.176D-02  7.747D+02
   92  111     0     0  con    0  1.0D+00  2.5D-04  9.356D-03  7.747D+02
   93  114     0     0  con    2  1.9D+00  1.7D-04  3.502D-03  7.747D+02
   94  116     0     0  con    1  4.9D-01  5.5D-05  2.399D-03  7.747D+02
   95  119     0     0  con    2  1.7D+00  1.4D-04  2.842D-03  7.747D+02
   96  122     0     0  con    2  4.5D-01  1.1D-04  4.218D-03  7.747D+02
   97  124     0     0  con    1  5.2D-01  4.7D-05  8.345D-03  7.747D+02
   98  127     0     0  con    2  4.0D-02  1.4D-05  8.242D-03  7.747D+02
   99  129     0     0  con    1  2.7D-01  1.4D-05  2.649D-03  7.747D+02
  100  131     0     0  con    1  3.9D-01  1.2D-05  7.958D-04  7.747D+02
  101  133     0     0  con    1  3.7D-01  1.7D-05  3.081D-03  7.747D+02
  102  134     0     0  con    0  1.0D+00  2.2D-05  7.844D-04  7.747D+02
  103  135     0     0  con    0  1.0D+00  1.0D-05  7.844D-04  7.747D+02
  104  136     0     0  con    0  1.0D+00  2.8D-05  3.160D-03  7.747D+02
  105  137     0     0  con    0  1.0D+00  4.6D-05  2.160D-03  7.747D+02
  106  138     0     0  con    0  1.0D+00  2.3D-04  8.129D-03  7.747D+02
  107  139     0     0  con    0  1.0D+00  4.3D-05  6.150D-03  7.747D+02
  108  140     0     0  con    0  1.0D+00  8.4D-05  3.376D-03  7.747D+02
  109  141     0     0  con    0  1.0D+00  1.4D-04  6.457D-03  7.747D+02
  110  142     0     0  con    0  1.0D+00  6.3D-04  1.362D-02  7.747D+02
  111  143     0     0  con    0  1.0D+00  1.3D-03  1.900D-02  7.747D+02
  112  145     0     0  con    1  1.6D-01  1.3D-04  6.116D-03  7.747D+02
  113  146     0     0  con    0  1.0D+00  4.2D-04  4.820D-03  7.747D+02
  114  147     0     0  con    0  1.0D+00  3.4D-04  2.038D-02  7.747D+02
  115  148     0     0  con    0  1.0D+00  6.9D-05  1.161D-02  7.747D+02
  116  149     0     0  con    0  1.0D+00  1.3D-04  7.901D-03  7.747D+02
  117  150     0     0  con    0  1.0D+00  8.5D-04  8.311D-03  7.747D+02
  118  151     0     0  con    0  1.0D+00  3.9D-04  7.901D-03  7.747D+02
  119  152     0     0  con    0  1.0D+00  2.3D-03  2.615D-02  7.747D+02
  120  153     0     0  con    0  1.0D+00  1.5D-03  3.674D-02  7.747D+02
  121  154     0     0  con    0  1.0D+00  5.1D-03  3.405D-02  7.747D+02
  122  156     0     0  con    1  1.2D-01  2.5D-03  8.423D-02  7.747D+02
  123  157     0     0  con    0  1.0D+00  3.1D-03  5.347D-02  7.747D+02
  124  158     0     0  con    0  1.0D+00  8.6D-03  2.127D-02  7.747D+02
  125  159     0     0  con    0  1.0D+00  5.6D-03  4.856D-02  7.747D+02
  126  160     0     0  con    0  1.0D+00  1.3D-02  8.355D-02  7.747D+02
  127  161     0     0  con    0  1.0D+00  2.0D-02  7.404D-02  7.747D+02
  128  162     0     0  con    0  1.0D+00  1.9D-02  8.256D-02  7.747D+02
  129  163     0     0  con    0  1.0D+00  2.8D-02  6.881D-02  7.747D+02
  130  165     0     0  con    1  9.3D-03  2.8D-03  1.925D-02  7.747D+02
  131  166     0     0  con    0  1.0D+00  1.6D-03  1.991D-02  7.747D+02
  132  167     0     0  con    0  1.0D+00  6.4D-03  1.388D-02  7.747D+02
  133  168     0     0  con    0  1.0D+00  4.7D-03  2.279D-02  7.747D+02
  134  169     0     0  con    0  1.0D+00  7.2D-03  2.799D-02  7.747D+02
  135  171     0     0  con    1  1.3D-01  2.8D-03  2.025D-02  7.747D+02
  136  172     0     0  con    0  1.0D+00  3.3D-03  1.392D-02  7.747D+02
  137  173     0     0  con    0  1.0D+00  4.0D-02  8.511D-02  7.747D+02
  138  174     0     0  con    0  1.0D+00  8.1D-03  8.226D-02  7.747D+02
  139  175     0     0  con    0  1.0D+00  4.5D-03  1.172D-02  7.747D+02
  140  176     0     0  con    0  1.0D+00  5.8D-03  1.487D-02  7.747D+02
  141  177     0     0  con    0  1.0D+00  1.1D-02  1.144D-02  7.747D+02
  142  178     0     0  con    0  1.0D+00  8.0D-03  3.589D-02  7.747D+02
  143  179     0     0  con    0  1.0D+00  1.0D-03  2.227D-02  7.747D+02
  144  180     0     0  con    0  1.0D+00  3.6D-03  2.420D-02  7.747D+02
  145  181     0     0  con    0  1.0D+00  1.5D-02  2.755D-02  7.747D+02
  146  182     0     0  con    0  1.0D+00  1.3D-01  2.071D-01  7.747D+02
  147  183     0     0  con    0  1.0D+00  2.1D-03  4.241D-02  7.747D+02
  148  184     0     0  con    0  1.0D+00  1.5D-02  2.722D-02  7.747D+02
  149  185     0     0  con    0  1.0D+00  5.9D-02  1.992D-01  7.747D+02
  150  186     0     0  con    0  1.0D+00  1.2D-02  1.222D-01  7.747D+02
  151  187     0     0  con    0  1.0D+00  8.1D-02  2.857D-01  7.747D+02
  152  188     0     0  con    0  1.0D+00  1.2D-02  5.327D-02  7.747D+02
  153  189     0     0  con    0  1.0D+00  2.9D-02  4.682D-02  7.747D+02
  154  190     0     0  con    0  1.0D+00  4.5D-02  7.241D-02  7.747D+02
  155  191     0     0  con    0  1.0D+00  9.9D-02  1.447D-01  7.747D+02
  156  192     0     0  con    0  1.0D+00  4.5D-02  1.206D-01  7.747D+02
  157  193     0     0  con    0  1.0D+00  1.5D-02  4.233D-02  7.747D+02
  158  194     0     0  con    0  1.0D+00  5.3D-03  4.674D-02  7.747D+02
  159  195     0     0  con    0  1.0D+00  3.3D-02  7.811D-02  7.747D+02
  160  197     0     0  con    1  4.4D-01  9.9D-02  6.930D-02  7.747D+02
  161  198     0     0  con    0  1.0D+00  8.7D-02  5.592D-02  7.747D+02
  162  199     0     0  con    0  1.0D+00  7.1D-02  1.284D-01  7.747D+02
  163  200     0     0  con    0  1.0D+00  2.5D-01  5.141D-02  7.747D+02
  164  202     0     0  con    1  4.3D-01  2.7D-02  1.973D-01  7.747D+02
  165  203     0     0  con    0  1.0D+00  4.5D-02  3.823D-02  7.747D+02
  166  204     0     0  con    0  1.0D+00  4.1D-03  2.690D-02  7.747D+02
  167  205     0     0  con    0  1.0D+00  4.6D-03  3.739D-02  7.747D+02
  168  206     0     0  con    0  1.0D+00  3.6D-02  3.485D-02  7.747D+02
  169  208     0     0  con    1  4.1D-01  2.0D-01  1.716D-01  7.747D+02
  170  209     0     0  con    0  1.0D+00  1.8D-02  1.297D-01  7.747D+02
  171  210     0     0  con    0  1.0D+00  1.6D-01  2.174D-01  7.747D+02
  172  211     0     0  con    0  1.0D+00  1.8D-01  1.569D-01  7.747D+02
  173  212     0     0  con    0  1.0D+00  1.2D-01  1.793D-01  7.747D+02
  174  213     0     0  con    0  1.0D+00  1.3D+00  5.371D-01  7.747D+02
  175  214     0     0  con    0  1.0D+00  2.6D-01  4.028D-01  7.747D+02
  176  215     0     0  con    0  1.0D+00  1.2D+00  1.765D-01  7.747D+02
  177  216     0     0  con    0  1.0D+00  2.9D+00  6.417D-01  7.747D+02
  178  217     0     0  con    0  1.0D+00  3.2D+00  1.919D+00  7.747D+02
  179  218     0     0  con    0  1.0D+00  4.1D+00  1.252D+00  7.747D+02
  180  219     0     0  con    0  1.0D+00  1.9D+00  8.002D-01  7.747D+02
  181  220     0     0  con    0  1.0D+00  2.7D+00  4.324D-01  7.747D+02
  182  221     0     0  con    0  1.0D+00  1.0D+00  3.844D-01  7.747D+02
  183  222     0     0  con    0  1.0D+00  2.8D+00  2.478D-01  7.747D+02
RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            2     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.910D-01  8.363D+02
    1    3     1     0  ---    1  6.8D-02  3.3D-02  1.842D-03  8.363D+02
    2    4     0     0  con    0  1.0D+00  1.2D-04  1.137D-04  8.363D+02
    3    6     0     0  con    1  5.0D+00  4.1D-05  1.364D-04  8.363D+02
    4    7     0     0  con    0  1.0D+00  2.0D-04  4.206D-04  8.363D+02
    5    8     0     0  con    0  1.0D+00  9.2D-04  1.171D-03  8.363D+02
    6    9     0     0  con    0  1.0D+00  2.0D-03  2.046D-03  8.363D+02
    7   10     0     0  con    0  1.0D+00  6.6D-03  3.809D-03  8.363D+02
    8   11     0     0  con    0  1.0D+00  1.6D-02  6.310D-03  8.363D+02
    9   12     0     0  con    0  1.0D+00  4.6D-02  1.077D-02  8.363D+02
   10   13     0     0  con    0  1.0D+00  1.2D-01  1.750D-02  8.363D+02
   11   14     0     0  con    0  1.0D+00  3.2D-01  2.888D-02  8.363D+02
   12   15     0     0  con    0  1.0D+00  8.2D-01  4.693D-02  8.363D+02
   13   16     0     0  con    0  1.0D+00  3.7D-01  4.313D-02  8.363D+02
   14   17     0     0  con    0  1.0D+00  2.3D+00  3.354D-03  8.363D+02
   15   18     0     0  con    0  1.0D+00  4.3D-01  6.708D-04  8.363D+02
   16   19     0     0  con    0  1.0D+00  3.1D-03  1.364D-04  8.363D+02
   17   30     0     0  con   10  1.0D-04  8.2D-08  1.364D-04  8.363D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     8.009D+00  7.905D+02
    1    3     1     0  ---    1  3.2D-03  4.0D-02  2.997D+01  7.905D+02
    2    4     0     0  con    0  1.0D+00  1.1D-02  1.395D+01  7.902D+02
    3    5     0     0  con    0  1.0D+00  2.9D-02  4.574D+00  7.900D+02
    4    6     0     0  con    0  1.0D+00  7.1D-02  9.566D+00  7.896D+02
    5    7     0     0  con    0  1.0D+00  7.3D-02  9.094D+00  7.894D+02
    6    9     0     0  con    1  5.1D-01  7.6D-02  1.108D+01  7.892D+02
    7   10     0     0  con    0  1.0D+00  4.4D-02  2.264D+00  7.891D+02
    8   11     0     0  con    0  1.0D+00  1.7D-02  8.574D-01  7.890D+02
    9   12     0     0  con    0  1.0D+00  1.0D-02  1.955D+00  7.890D+02
   10   13     0     0  con    0  1.0D+00  3.1D-02  4.029D+00  7.890D+02
   11   14     0     0  con    0  1.0D+00  7.8D-02  5.350D+00  7.889D+02
   12   16     0     0  con    1  4.9D-01  1.4D-01  2.236D+00  7.888D+02
   13   18     0     0  con    1  3.8D-01  7.8D-02  4.439D+00  7.888D+02
   14   19     0     0  con    0  1.0D+00  1.8D-01  5.394D+00  7.886D+02
   15   20     0     0  con    0  1.0D+00  1.5D-01  1.611D+01  7.884D+02
   16   22     0     0  con    1  2.6D-01  3.6D-02  2.358D+00  7.884D+02
   17   23     0     0  con    0  1.0D+00  3.5D-02  3.418D+00  7.883D+02
   18   24     0     0  con    0  1.0D+00  8.2D-02  8.220D+00  7.883D+02
   19   25     0     0  con    0  1.0D+00  6.8D-02  8.968D+00  7.883D+02
   20   26     0     0  con    0  1.0D+00  1.0D-01  7.043D+00  7.882D+02
   21   27     0     0  con    0  1.0D+00  1.1D-01  3.954D+00  7.882D+02
   22   29     0     0  con    1  4.7D-01  6.6D-02  9.132D+00  7.881D+02
   23   30     0     0  con    0  1.0D+00  2.7D-02  4.159D+00  7.881D+02
   24   31     0     0  con    0  1.0D+00  4.4D-02  3.608D+00  7.881D+02
   25   32     0     0  con    0  1.0D+00  2.2D-02  2.733D+00  7.881D+02
   26   33     0     0  con    0  1.0D+00  9.0D-02  6.240D+00  7.881D+02
   27   34     0     0  con    0  1.0D+00  7.3D-02  1.083D+00  7.881D+02
   28   35     0     0  con    0  1.0D+00  1.2D-01  7.758D+00  7.881D+02
   29   36     0     0  con    0  1.0D+00  1.2D-02  2.372D+00  7.881D+02
   30   37     0     0  con    0  1.0D+00  6.6D-02  1.792D+00  7.880D+02
   31   39     0     0  con    1  4.3D-01  1.0D-01  3.680D+00  7.880D+02
   32   40     0     0  con    0  1.0D+00  1.2D-01  7.072D+00  7.880D+02
   33   41     0     0  con    0  1.0D+00  7.8D-02  9.229D+00  7.880D+02
   34   42     0     0  con    0  1.0D+00  1.2D-01  5.222D+00  7.880D+02
   35   43     0     0  con    0  1.0D+00  4.4D-02  1.919D+00  7.880D+02
   36   44     0     0  con    0  1.0D+00  1.4D-02  2.814D+00  7.880D+02
   37   45     0     0  con    0  1.0D+00  5.1D-02  2.971D+00  7.879D+02
   38   46     0     0  con    0  1.0D+00  8.6D-03  1.198D+00  7.879D+02
   39   47     0     0  con    0  1.0D+00  2.3D-03  9.817D-01  7.879D+02
   40   48     0     0  con    0  1.0D+00  1.9D-02  4.292D-01  7.879D+02
   41   49     0     0  con    0  1.0D+00  2.1D-02  1.559D-01  7.879D+02
   42   50     0     0  con    0  1.0D+00  5.1D-02  1.340D+00  7.879D+02
   43   51     0     0  con    0  1.0D+00  1.7D-02  1.159D+00  7.879D+02
   44   53     0     0  con    1  4.4D-01  2.9D-02  1.790D+00  7.879D+02
   45   54     0     0  con    0  1.0D+00  1.6D-02  1.095D+00  7.879D+02
   46   55     0     0  con    0  1.0D+00  5.4D-03  2.299D-01  7.879D+02
   47   56     0     0  con    0  1.0D+00  2.4D-03  3.135D-01  7.879D+02
   48   57     0     0  con    0  1.0D+00  5.4D-03  6.862D-02  7.879D+02
   49   59     0     0  con    1  1.9D-01  4.2D-03  3.271D-01  7.879D+02
   50   60     0     0  con    0  1.0D+00  2.3D-03  8.906D-02  7.879D+02
   51   61     0     0  con    0  1.0D+00  2.0D-03  6.927D-02  7.879D+02
   52   62     0     0  con    0  1.0D+00  7.5D-04  8.442D-02  7.879D+02
   53   63     0     0  con    0  1.0D+00  2.2D-03  1.218D-01  7.879D+02
   54   65     0     0  con    1  2.9D-01  1.1D-03  1.621D-02  7.879D+02
   55   66     0     0  con    0  1.0D+00  6.8D-04  5.809D-03  7.879D+02
   56   67     0     0  con    0  1.0D+00  6.3D-04  1.331D-02  7.879D+02
   57   68     0     0  con    0  1.0D+00  2.2D-04  5.548D-03  7.879D+02
   58   69     0     0  con    0  1.0D+00  3.5D-04  1.941D-02  7.879D+02
   59   70     0     0  con    0  1.0D+00  5.1D-04  4.344D-02  7.879D+02
   60   71     0     0  con    0  1.0D+00  2.8D-03  1.296D-01  7.879D+02
   61   73     0     0  con    1  5.0D+00  1.6D-03  4.417D-02  7.879D+02
   62   74     0     0  con    0  1.0D+00  9.3D-03  2.042D-01  7.879D+02
   63   75     0     0  con    0  1.0D+00  1.9D-02  4.229D-01  7.879D+02
   64   76     0     0  con    0  1.0D+00  5.5D-02  6.148D-01  7.879D+02
   65   77     0     0  con    0  1.0D+00  6.0D-02  6.102D-01  7.879D+02
   66   79     0     0  con    1  3.1D-02  1.5D-02  8.540D-01  7.879D+02
   67   80     0     0  con    0  1.0D+00  1.1D-01  4.423D-01  7.879D+02
   68   81     0     0  con    0  1.0D+00  1.2D-01  2.219D-01  7.879D+02
   69   82     0     0  con    0  1.0D+00  2.4D-01  8.289D-01  7.879D+02
   70   83     0     0  con    0  1.0D+00  3.2D-01  1.588D+00  7.879D+02
   71   84     0     0  con    0  1.0D+00  4.6D-01  1.929D+00  7.879D+02
   72   85     0     0  con    0  1.0D+00  9.1D-01  7.061D-01  7.879D+02
   73   86     0     0  con    0  1.0D+00  1.0D+00  2.734D+00  7.879D+02
   74   87     0     0  con    0  1.0D+00  2.2D+00  2.565D+00  7.879D+02
   75   89     0     0  con    1  2.4D-01  5.1D+00  4.549D+00  7.879D+02
   76   90     0     0  con    0  1.0D+00  1.2D+01  9.092D+00  7.879D+02
   77   91     0     0  con    0  1.0D+00  4.8D+00  2.687D+00  7.879D+02
   78   92     0     0  con    0  1.0D+00  3.6D+00  4.035D+00  7.878D+02
   79   93     0     0  con    0  1.0D+00  2.3D-01  1.060D+00  7.878D+02
   80   94     0     0  con    0  1.0D+00  2.0D-01  1.040D+00  7.878D+02
   81   95     0     0  con    0  1.0D+00  2.0D+00  9.069D+00  7.878D+02
   82   96     0     0  con    0  1.0D+00  6.4D-02  2.535D+00  7.878D+02
   83   97     0     0  con    0  1.0D+00  3.0D+00  8.523D-01  7.878D+02
   84   98     0     0  con    0  1.0D+00  1.6D+01  5.807D+00  7.878D+02
   85   99     0     0  con    0  1.0D+00  1.0D+01  5.076D+00  7.878D+02
   86  101     0     0  con    1  7.3D-02  1.5D+00  8.086D+00  7.878D+02
   87  102     0     0  con    0  1.0D+00  1.1D+01  2.780D+00  7.877D+02
   88  103     0     0  con    0  1.0D+00  1.0D+00  6.118D-01  7.877D+02
   89  104     0     0  con    0  1.0D+00  1.3D+00  1.357D+00  7.877D+02
   90  105     0     0  con    0  1.0D+00  4.8D-01  1.633D-01  7.877D+02
   91  106     0     0  con    0  1.0D+00  3.8D-01  8.295D-02  7.877D+02
   92  107     0     0  con    0  1.0D+00  2.3D-01  1.048D-01  7.877D+02
   93  108     0     0  con    0  1.0D+00  2.6D-01  1.744D-01  7.877D+02
   94  109     0     0  con    0  1.0D+00  3.0D-01  3.712D-02  7.877D+02
   95  110     0     0  con    0  1.0D+00  5.0D-02  1.844D-02  7.877D+02
   96  111     0     0  con    0  1.0D+00  2.2D-02  5.954D-02  7.877D+02
   97  112     0     0  con    0  1.0D+00  9.6D-02  1.413D-02  7.877D+02
   98  113     0     0  con    0  1.0D+00  2.5D-02  3.067D-02  7.877D+02
   99  114     0     0  con    0  1.0D+00  1.8D-02  1.062D-02  7.877D+02
  100  115     0     0  con    0  1.0D+00  9.9D-03  1.201D-02  7.877D+02
  101  116     0     0  con    0  1.0D+00  2.2D-03  3.411D-03  7.877D+02
  102  118     0     0  con    1  3.1D-01  3.1D-03  2.092D-03 
